address,city,bar,phones,postalCode,province,o_times,c_times
3738 Opelika Rd,Phenix City,Lances Pub,3342144675,36870,AL,12:00,2:00
1550 Zion Rd,Fayetteville,Apple Blossom Brewing Company,,,AR,14:00,24:00:00
1801 Green Mountain Dr,Little Rock,Grumpy's,"(501) 225-3768, 5012253768",72212,AR,12:00,2:00
Tdb,Tucson,Blackrock Brewers,,85748,AZ,12:00,24:00:00
1425 Mcculloch Blvd N,Lake Havasu City,Barley Brothers Brewery,"928-505-7837, 9285057837",86403,AZ,14:00,1:00
6124 Hollywood Blvd (at Gower St),Los Angeles,Blue Palms Brewhouse,3234642337,90028,CA,14:00,24:00:00
29851 Aventura,Rancho Santa Margarita,Cismontane Brewing,9498882739,92688,CA,12:00,2:00
10915 High Valley Rd,Clearlake Oaks,Brassfield Estate Winery,7079981895,95423,CA,12:00,2:00
2926 Main St,Santa Monica,Circle Bar,"3103924898, 3104500508",90405,CA,13:00,24:00:00
41740 Enterprise Cir N,Temecula,Black Market Brewing Co,,92590,CA,12:00,2:00
1422 Monterey St,San Luis Obispo,Central Coast Brewing,8057832739,93401,CA,12:00,24:00:00
W Jeppesen Terminal 5,Denver,Boulder Beer Tap House,3033428326,80249,CO,13:00,24:00:00
2161 Blake St,Denver,Blue Moon Brewery At The Sandlot,"3032981587, (303) 298-1587",80205,CO,14:00,1:00
64 Greenwich Ave,Greenwich,Gingerman The,,06830-5504,CT,14:00,2:00
1100 New York Ave N W,Washington,Capitol City Brewing Company,2026282222,20005,DC,13:00,24:00:00
1313 Mckennans Church Rd,Wilmington,Carney's Pub and Tavern,3029980692,"19808, 19808-2132",DE,13:00,1:00
9711 Deer Lake Ct,Jacksonville,Miller's Jacksonville Ale House,"(904) 565-2882, 9045652882",32246,FL,12:00,1:00
600 E Gregory St,Pensacola,Mcguire's Irish Pub Brewery,"8504336789, 8504332849, 8504345400, (850) 433-6789",32502,FL,13:00,2:00
4021 54th Ave N,Saint Petersburg,Marsha's Tavern,7275255910,33714-2249,FL,12:00,24:00:00
11795 Pines Blvd,Pembroke Pines,Miller's Pembroke Pines Ale House,"9544380111, (954) 438-0111",33026,FL,12:00,2:00
1 Lincoln St,Savannah,Boar's Head Grill & Tavern,9126519660,31401,GA,13:00,24:00:00
27 Word St,Fairburn,Strawn Brewing Company,4047028502,30213,GA,14:00,24:00:00
211 E Trinity Pl (at Church St),Decatur,Twain's Billiards and Tap,4043730063,30030,GA,12:00,24:00:00
427 Moreland Ave N E,Atlanta,Little 5 Points Corner Tavern,,30307-1500,GA,13:00,24:00:00
