date,time,tax,tip,total,transactionids
6/7/2018,14:30,1.093333333,2.811428571,19.52380952,35407
1/10/2018,12:30,0,0,0,37139
6/5/2018,14:30,0.779032258,2.003225806,13.91129032,62111
10/8/2018,13:30,0,0,0,26835
7/9/2018,13:30,0.925847458,2.380750605,16.53299031,70751
8/28/2018,13:30,2.682361111,6.8975,47.89930556,43227
8/29/2018,13:30,0.591187271,1.520195838,10.55691554,65756
2/12/2018,12:30,0.356507177,0.916732741,6.36619959,94729
10/18/2018,13:30,0.662941176,1.704705882,11.83823529,44898
3/17/2018,12:30,1.143024269,2.939205263,20.41114766,31276
2/6/2018,14:30,1.921621457,4.941312319,34.31466888,66181
1/28/2018,13:30,0.07125,0.183214286,1.272321429,26573
9/22/2018,14:30,7.736852841,19.89476445,138.1580864,90454
4/27/2018,14:30,0,0,0,30405
8/29/2018,14:30,0.102296112,0.263047146,1.826716294,20786
10/7/2018,13:30,0.681709337,1.752966867,12.17338102,42278
2/5/2018,12:30,1.329423077,3.418516484,23.7396978,83117
2/12/2018,12:30,1.638257196,4.212661362,29.25459279,42564
8/2/2018,13:30,0.507747475,1.305636364,9.066919192,48434
8/4/2018,13:30,0,0,0,69727
4/23/2018,14:30,0,0,0,47696
2/21/2018,12:30,7.783474801,20.01464949,138.9906214,21928
6/17/2018,14:30,0.235384615,0.605274725,4.203296703,97303
9/6/2018,12:30,0.289058824,0.743294118,5.161764706,37772
2/13/2018,14:30,1.2685,3.261857143,22.65178571,50139
9/24/2018,13:30,1.183010671,3.042027439,21.12519055,51480
9/15/2018,14:30,0.002857143,0.007346939,0.051020408,85427
1/10/2018,12:30,1.444992826,3.715695839,25.80344333,40315
9/24/2018,12:30,0.777522791,1.99934432,13.88433555,70933
8/9/2018,14:30,0.164705882,0.423529412,2.941176471,83024
2/12/2018,12:30,2.134850267,5.489614973,38.1223262,24181
5/11/2018,13:30,0.447077114,1.149626866,7.9835199,92664
2/25/2018,13:30,0.145833333,0.375,2.604166667,27668
4/9/2018,12:30,0.504,1.296,9,27475
7/12/2018,14:30,0.214117647,0.550588235,3.823529412,21837
6/17/2018,14:30,1.026666667,2.64,18.33333333,37150
7/15/2018,12:30,0.716470588,1.842352941,12.79411765,59089
10/5/2018,12:30,1.074137931,2.762068966,19.18103448,14011
1/22/2018,13:30,0.886666667,2.28,15.83333333,40678
8/17/2018,14:30,2.04037931,5.246689655,36.43534483,40177
2/27/2018,14:30,1.681333333,4.323428571,30.02380952,78213
6/13/2018,12:30,0.352692308,0.906923077,6.298076923,40212
2/10/2018,13:30,0,0,0,70586
