transactionids,times,dates
84304,20:23,9-24-2016
31114,18:58,8-26-2016
14782,23:17,6-24-2016
75500,21:19,5-7-2016
73157,18:01,6-7-2016
10009,14:47,3-12-2016
88270,22:24,11-11-2016
14934,17:33,7-3-2016
34606,18:15,11-23-2016
16844,21:01,3-25-2016
97855,17:42,3-24-2016
44709,17:04,3-16-2016
55299,16:40,4-14-2016
68098,17:22,6-12-2016
96052,19:06,11-16-2016
34748,16:42,12-24-2016
68734,18:43,4-27-2016
79492,22:14,6-22-2016
12314,16:58,10-16-2016
87452,21:33,8-17-2016
47269,18:32,12-11-2016
48313,15:19,1-26-2016
95941,16:49,4-14-2016
71042,18:35,6-11-2016
14656,17:16,3-8-2016
32250,22:08,7-28-2016
35750,23:58,3-16-2016
49950,14:57,11-22-2016
33767,18:30,4-15-2016
21040,17:13,10-27-2016
28473,17:43,8-15-2016
81483,16:17,8-20-2016
91296,21:02,11-19-2016
36051,16:18,12-28-2016
47950,15:16,11-3-2016
94169,19:16,11-15-2016
19362,19:04,8-19-2016
58428,23:07,7-14-2016
53106,15:43,9-16-2016
12908,15:26,7-21-2016
49439,18:02,11-1-2016
62994,20:23,3-5-2016
25774,17:30,11-8-2016
44164,23:54,4-25-2016
19574,21:06,6-4-2016
82061,19:38,6-10-2016
37605,18:38,12-5-2016
61194,23:56,3-20-2016
95888,22:52,7-13-2016
93254,17:11,12-26-2016
42536,16:39,7-2-2016
52914,21:25,1-21-2016
52410,20:30,6-17-2016
50126,14:27,10-10-2016
86674,15:27,10-3-2016
31493,19:23,6-4-2016
78206,18:44,6-6-2016
44108,22:24,7-11-2016
68579,14:34,11-10-2016
35931,21:21,3-7-2016
48973,14:35,7-10-2016
69196,17:07,9-15-2016
57943,22:58,11-11-2016
40893,15:07,1-8-2016
86984,22:42,9-3-2016
39442,16:09,7-10-2016
12648,17:14,7-23-2016
87440,15:23,3-3-2016
13601,21:04,1-28-2016
25340,22:59,6-26-2016
68635,23:28,11-14-2016
80138,23:47,5-20-2016
12087,15:32,1-11-2016
93382,16:19,9-12-2016
87552,21:59,8-17-2016
67604,23:09,8-10-2016
32235,17:07,2-26-2016
53001,20:05,12-7-2016
11603,21:46,10-11-2016
96345,22:53,7-12-2016
43571,16:57,8-7-2016
49709,18:20,12-5-2016
60648,20:26,12-11-2016
50746,23:52,4-4-2016
63355,18:37,10-7-2016
50290,16:13,1-9-2016
38114,14:23,9-14-2016
66527,21:05,10-25-2016
38439,16:40,4-13-2016
57744,16:00,12-12-2016
62500,22:41,10-17-2016
90609,23:37,3-22-2016
39754,21:26,5-15-2016
62108,23:37,8-27-2016
87531,21:36,12-16-2016
10808,16:47,10-14-2016
24181,16:47,3-28-2016
90714,22:19,3-4-2016
56649,16:16,5-16-2016
22664,20:36,1-6-2016
38380,23:21,10-27-2016
66320,14:18,9-21-2016
49616,21:18,8-28-2016
87267,20:18,8-14-2016
20128,16:28,10-12-2016
93179,23:09,11-27-2016
34576,23:40,6-16-2016
97117,19:19,12-15-2016
52224,17:17,3-5-2016
75245,17:04,4-11-2016
83449,22:37,6-17-2016
56402,17:45,3-21-2016
61820,18:10,5-20-2016
71835,21:59,7-20-2016
54230,17:38,8-3-2016
75634,21:03,6-4-2016
29490,19:10,6-25-2016
10643,14:22,2-10-2016
94909,16:06,8-1-2016
52469,17:18,1-1-2016
39699,14:17,7-18-2016
78611,16:54,8-7-2016
99519,19:43,7-1-2016
10678,20:30,7-7-2016
82738,23:20,5-25-2016
40315,17:10,10-28-2016
38575,18:44,6-8-2016
80806,22:03,5-2-2016
97493,20:28,11-20-2016
59023,21:27,4-2-2016
33366,16:42,11-16-2016
52590,15:31,6-15-2016
29934,22:31,8-3-2016
38504,19:01,10-13-2016
59268,22:34,2-16-2016
98473,18:42,4-9-2016
78083,17:30,8-23-2016
49678,17:57,6-26-2016
88486,14:32,10-24-2016
30222,16:29,11-13-2016
11126,14:10,1-15-2016
56861,17:56,6-28-2016
69689,22:20,11-6-2016
41365,17:24,2-11-2016
66175,20:49,6-23-2016
44491,21:31,10-24-2016
76406,14:38,1-12-2016
72608,20:05,8-26-2016
73905,21:54,7-8-2016
36978,16:06,1-16-2016
12288,16:17,4-6-2016
12282,15:09,6-23-2016
35329,18:44,11-16-2016
21964,20:26,5-18-2016
64560,23:13,5-3-2016
37225,23:21,2-20-2016
61311,17:30,6-13-2016
38802,18:36,1-3-2016
15002,16:25,12-5-2016
77681,17:22,4-9-2016
35501,23:15,1-12-2016
37673,19:51,8-9-2016
42584,17:05,6-10-2016
40206,17:48,4-20-2016
10968,15:12,5-23-2016
57692,15:09,9-6-2016
74439,17:54,2-18-2016
46014,23:07,5-23-2016
15815,20:09,11-25-2016
65405,17:13,9-23-2016
75838,18:24,5-16-2016
26056,18:00,8-10-2016
91269,16:14,5-11-2016
65575,22:04,3-16-2016
49940,20:46,12-25-2016
61692,21:57,5-23-2016
59871,17:42,2-13-2016
53259,16:56,12-16-2016
17191,21:27,2-23-2016
37507,20:16,9-4-2016
61478,23:25,12-14-2016
87421,14:43,7-10-2016
90296,18:19,7-5-2016
92499,22:06,4-25-2016
77062,20:51,10-9-2016
83329,17:52,9-10-2016
78493,17:49,3-14-2016
79232,18:22,11-27-2016
41691,14:28,5-12-2016
79166,20:42,4-28-2016
23248,22:30,1-23-2016
99151,22:24,4-20-2016
44380,19:08,9-18-2016
