transactionids,items,quantity
40855,Yellow Wolf Imperial IPA,2
40855,Boxer Ice,4
40855,Chicken Tortilla Soup,3
63300,Lobster Bisque,3
92427,Onion Rings,1
92427,Onion Rings,2
15582,Buffalo Wings,4
66159,Osiris Pale Ale,1
66159,Bozone Hefe Weizen,1
66159,KSA,1
17612,Abigale,4
22224,Midnight Ryder,4
22224,Akari Shogun American Wheat Ale,2
83523,Agave Wheat,2
83523,Agave Wheat,3
11999,Milk Mustachio Stout,5
94852,Coconut Shrimp,1
94852,Coconut Shrimp,1
94354,Yellow Wolf Imperial IPA,1
94354,KSA,5
27105,Paleo IPA,4
27105,Doomtree,1
27105,KSA,3
88101,Dolores River Pale Ale,3
88101,Chicken Taco,5
56057,Pale Dog,2
56057,Yeti  Imperial Stout,4
56057,Smooth Operator,5
56272,Yellowstone Golden Ale,4
56272,Alaskan Amber,3
56272,Alaskan Amber,2
26674,Yellowstone Golden Ale,5
26674,Bozone Hefe Weizen,2
26674,Dos Pistolas,2
26059,Coleslaw,3
26059,Coleslaw,4
26059,Paleo IPA,3
31562,Boy King,3
55819,Midnight Ryder,5
55862,Osiris Pale Ale,1
55862,Osiris Pale Ale,5
57731,Akari Shogun American Wheat Ale,3
57731,Chicken Tortilla Soup,4
57731,Cheese Pizza,2
55241,Grilled Chicken Quesadilla,2
55241,Coconut Shrimp,4
84668,Dottie Seattle Lager,1
84668,Lobster Bisque,2
84668,Yeti  Imperial Stout,3
74920,House Salad,4
88615,Chips and Salsa,5
77343,Boxer Ice,3
77343,Caesar Salad,1
88746,Oberon,2
88746,Pale Dog,5
88746,Might As Well IPL,5
48729,Sweet Potato Fries,4
35109,La Frontera Premium IPA,2
77223,Ahi Tune Bruschetta,3
49432,Chips and Salsa,1
49432,French Onion Soup,5
95297,Firefly Amber Ale,5
95297,Midnight Ryder,2
95297,Milk Mustachio Stout,1
34027,Nachos,4
34027,Mediterranean Hummus,2
34027,Mediterranean Hummus,1
77642,Fried Calamari,5
77642,Doomtree,5
53755,Fried Calamari,2
53755,Tomato Basil Soup,4
53755,Jack Stout,5
66069,Pulled Pork Sliders,2
66069,Midwest Charm Farmhouse Ale,1
66069,Fort Pitt Ale,3
50603,Kale Salad,3
55320,Nordskye ,3
55320,Onion Rings,4
83241,French Onion Soup,2
83241,Boneless Wings,5
83394,Pretzels and Cheese Dip,5
38592,Nachos,3
38592,Lobster Bisque,5
81595,Forest Fire Imperial Smoked Rye,1
77613,Kale Salad,4
58138,Cheeseburger,1
58138,Snaggletooth Double Pale Ale,4
64833,Grilled Cheese Trio,2
65325,Gossamer Golden Ale,5
39004,Jack's Hard Cider,5
39004,Jack's Hard Cider,3
39004,French Onion Soup,1
57239,Yellow Wolf Imperial IPA,1
57239,Yellow Wolf Imperial IPA,1
57239,Pale Dog,1
75489,Red Mountain Ale,2
75489,Cheese Pizza,5
72972,KSA,4
91206,Yeti  Imperial Stout,1
