bar,transactionid
Wild Goose Tavern,84304
Getaway Lounge,31114
Checkered Flag Sports Bar,14782
Little Apple Brewing Co,75500
Brassfield Estate Winery,73157
Grumpy's,10009
Cooper's Tavern,88270
Little 5 Points Corner Tavern,14934
Compa,34606
Costanzo's Lounge Restaurant,16844
Firehouse Sports Pub,97855
Southampton Publick House,44709
Snidely's,55299
Taste of Europe,68098
Hoop N Holler Tavern,96052
Coopers Landing,34748
Gingerman The,68734
Little Apple Brewing Co,79492
Christy's Tavern,12314
Sunday River Brewing Co,87452
Seanachai Social Club,47269
Beechmoor Restaurant & Lounge,48313
Gordon Biersch,95941
John Harvard's Brew House,71042
Roosters Brewing Co,14656
Brewery Tap,32250
Tavern The,35750
Brickstone Brewery,49950
Getaway Lounge,33767
Checkered Flag Sports Bar,21040
Checkered Flag Sports Bar,28473
Wilson Richard,81483
West Street Pub,91296
Squatter's Pub Brewery,36051
Carole's,47950
Taps & Apps,94169
Carney's Pub and Tavern,19362
Miller's Pembroke Pines Ale House,58428
Emmett's Tavern & Brewing Co,53106
Broadway Brewhouse,12908
Scoreboard Saloon The,49439
C B S Distributing Inc,62994
Corsair Artisan,25774
Getaway Lounge,44164
Coppertank Brewery,19574
Crickett Tavern,82061
Danny's Bar & Grill,37605
Blackrock Brewers,61194
East Side Inc,95888
Pasc,93254
Mcguire's Irish Pub Brewery,42536
Golden Rail The,52914
Blackfoot River Brewing Co,52410
Four Corners Brewing Co,50126
Coopers Landing,86674
Broadway,31493
Third Alarm Bar,78206
River City Brewery,44108
John Harvard's Brew House,68579
T J Sport House,35931
Noodles & Company,48973
Wild Goose Tavern,69196
Grumpy's,57943
Miller's Pembroke Pines Ale House,40893
Taps & Apps,86984
Adroit Theory Brewing Company,39442
High Sierra Brewing Co,12648
T J Sport House,87440
Growlers of Gaithersburg,13601
Pepino's Taco Stand,25340
Chic Lounge,68635
Gordon Biersch Brewery Restaurant,80138
Timmy's Tavern,12087
Lances Pub,93382
Corsair Artisan,87552
Brickstone Brewery,67604
Big Heads Tavern,32235
Chic Lounge,53001
A and P Bar and Grill,11603
Boneyard Barbecue Saloon,96345
Emmett's Tavern & Brewing Co,43571
Jolly Pumpkin Cafe & Brewery,49709
The Blind Tiger Brewery,60648
Third Alarm Bar,50746
Crickett Tavern,63355
Old Town Tavern,50290
Christy's Tavern,38114
8th St Inn,66527
West Street Pub,38439
Adroit Theory Brewing Company,57744
Cassidy's Hilltop Tavern,62500
Martha's Tavern On Tenth,90609
Bickering Tree Lounge,39754
Christy's Tavern,62108
Eagles Nest,87531
Brick Tavern The,10808
John Harvard's Brew House,24181
Brassfield Estate Winery,90714
Bobby's Sand Bar,56649
Beepster's Tavern,22664
Brick Tavern The,38380
Copper Dragon Brewing Co,66320
Brickstone Brewery,49616
Duffys Too Inc,87267
Growler Haus,20128
Three Rivers Eatery,93179
Carole's,34576
Gallicano's Pizzeria,97117
Rio Grande Brewing Co,52224
Brickway Brewery & Distillery,75245
Carole's,83449
Great Raft Brewing,56402
Pepino's Taco Stand,61820
Snidely's,71835
Chicago Brewing Company,54230
Firkin and Fox,75634
Christy's Tavern,29490
Jailhouse Bar,10643
Kuhnhenn Brewing Co.,94909
Watch City Brewing Co,52469
Caboose Brewing Company,39699
Firkin and Fox,78611
Roosters Brewing Co,99519
Great Raft Brewing,10678
Snidely's,82738
Bob's Tavern 19th Hole,40315
Capitol City Brewing Company,38575
Bowling's,80806
Gallicano's Pizzeria,97493
Hoop N Holler Tavern,59023
Broadway Brewhouse,33366
Freedom Way Lounge,52590
Kuhnhenn Brewing Co.,29934
Costanzo's Lounge Restaurant,38504
Elm City Restaurant & Brewery,59268
Dan Mcguinness Irish Pub,98473
Jailhouse Bar,78083
Destihl Restaurant & Brew Works,49678
Naked Winery & Sick-n-twisted Brewing Company,88486
Blue Stallion Brewing Co,30222
Crickett Tavern,11126
Boulder Beer Tap House,56861
Scuttlebutt Tavern,69689
Atwood's Tin Hat,41365
8th St Inn,66175
Tavern The,44491
Borland's,76406
5 Spot 3,72608
Rough Kutts,73905
Lances Pub,36978
Miller's Pembroke Pines Ale House,12288
5 Spot 3,12282
Aj's Bar & Grill,35329
Southampton Publick House,21964
5 Spot 3,64560
Pasc,37225
Scoreboard Saloon The,61311
Golden Rail The,38802
T J Sport House,15002
Getaway Lounge,77681
Wooden Legs Brewing Company,35501
Beechwood Lounge,37673
Corsair Artisan,42584
Fat Tuesdays,40206
Blue Stallion Brewing Co,10968
Rough Kutts,57692
Beechwood Lounge,74439
Rudys Beachside Bar,46014
Willingers Beer Depot,15815
A and P Bar and Grill,65405
T J Sport House,75838
Jolly Pumpkin Cafe & Brewery,26056
Jesters,91269
Bobby's Sand Bar,65575
Bake Bottle & Brew,49940
Borland's,61692
Casa Montego Inc,59871
Naked Winery & Sick-n-twisted Brewing Company,53259
Brewery Tap,17191
Chucks Lounge,37507
Little Apple Brewing Co,61478
Miller's Jacksonville Ale House,87421
Wooden Legs Brewing Company,90296
Marsha's Tavern,92499
Key Largo Lounge Inc,77062
Firehouse Sports Pub,83329
Adroit Theory Brewing Company,78493
Central Coast Brewing,79232
Blue Lantern Steak & Seafood,41691
Corner Pocket Tavern,79166
Central Coast Brewing,23248
Brickstone Brewery,99151
Dan Mcguinness Irish Pub,44380
Squatter's Pub Brewery,53195
Kona Brewing Co & Brew Pub,51778
Brickway Brewery & Distillery,13538
Chucks Lounge,81190
Chic Lounge,31082
Cismontane Brewing,62262
Brickway Brewery & Distillery,27758
Bake Bottle & Brew,32786
Gold Bar Tavern,17645
Three Rivers Eatery,50011
Gold Bar Tavern,54720
City Limits Saloon & Grill,58690
Getaway Lounge,22611
Bob's Tavern 19th Hole,11030
Emporium The,72167
Chouteau Inn,69203
Bridger Brewing,20168
Rio Grande Brewing Co,41898
Casa Montego Inc,76042
Club 51,25819
Black Market Brewing Co,83495
Destihl Restaurant & Brew Works,37298
Bent-rim The,32538
Coal Creek Tap,64018
Asgard Tavern,91233
Big Heads Tavern,47087
Club 51,84952
Frisco Tap House & Brewery,75575
Voodoo Brewery,28392
Watch City Brewing Co,95705
Rudys Beachside Bar,71312
The Brewery Bar & Kitchen,17871
5 Spot 3,92910
Trinity Brewhouse,74111
Big Heads Tavern,71962
Davey Tavern,54896
Copper Dragon Brewing Co,76924
Lances Pub,54760
Third Alarm Bar,19686
Bent-rim The,58971
The Office Beer Bar & Grill,36585
Blue Marble The,68511
Apple Blossom Brewing Company,14997
Gallicano's Pizzeria,24562
Rough Kutts,19395
Avenue Pub,42189
Big Heads Tavern,63801
Avenue Pub,71687
Southampton Publick House,64399
Sockeye Grill and Brewery,63709
Seanachai Social Club,67764
Pepino's Taco Stand,59639
Apple Blossom Brewing Company,28372
Mcguire's Irish Pub Brewery,49567
West Street Pub,44541
Marsha's Tavern,13140
Great Raft Brewing,88906
Atwood's Tin Hat,18490
Bulldog Brewing Company,39626
Adroit Theory Brewing Company,42600
